Cid	A	B	C	D	E	NAME	FORMULA	EXACT_MASS	MOL_WEIGHT	REMARK	PubChem	ChEBI	ChEMBL	PDB.CCD	LIPIDMAPS	LipidBank	SEQUENCE
C09737	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Solavetivone	C15H22O	218.1671	218.3346		11925	9192	CHEMBL465907				
C09737	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Bisabolanes		Solavetivone	C15H22O	218.1671	218.3346		11925	9192	CHEMBL465907				
C09738	Natural toxins	Fungal toxins	Mycotoxins	Trichothecenes		T-2 Toxin	C24H34O9	466.2203	466.5214		11926	9381	CHEMBL1989781				
C09739	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Tetradymol	C15H22O2	234.162	234.334		11927	9477					
C09740	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Thujopsene;///(-)-Thujopsene	C15H24	204.1878	204.3511		11928	9578					
C09740	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Thujopsene;///(-)-Thujopsene	C15H24	204.1878	204.3511		11928	9578					
C09743	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Valerenic acid	C15H22O2	234.162	234.334		11931	9921	CHEMBL1545045				
C09743	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Valerenic acid	C15H22O2	234.162	234.334		11931	9921	CHEMBL1545045				
C09744	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Vetivone	C15H22O	218.1671	218.3346		11932	10339					
C09745	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		beta-Vetivone	C15H22O	218.1671	218.3346		11933	10448					
C09747	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Vomitoxin;///Deoxynivalenol;///DON	C15H20O6	296.126	296.3157		11935	10022					
C09747	Natural toxins	Fungal toxins	Mycotoxins	Trichothecenes		Vomitoxin;///Deoxynivalenol;///DON	C15H20O6	296.126	296.3157		11935	10022					
C09748	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Farnesenes		Warburganal	C15H22O3	250.1569	250.3334		11936	10032	CHEMBL452492				
C09749	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		alpha-Ylangene	C15H24	204.1878	204.3511		11937	10341					
C09750	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0103 C15 isoprenoids (sesquiterpenes)		Zingiberene;///alpha-Zingiberene	C15H24	204.1878	204.3511		11938	10115					
C09750	Phytochemical Compounds	Terpenoids	Sesquiterpenoids (C15)	Others		Zingiberene;///alpha-Zingiberene	C15H24	204.1878	204.3511		11938	10115					
C09751	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		Garbanzol;///3,7,4'-Trihydroxyflavanone	C15H12O5	272.0685	272.2528		11939	27587	CHEMBL254051				
C09752	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Glabranin	C20H20O4	324.1362	324.3704		11940	5368	CHEMBL253998				
C09752	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Glabranin	C20H20O4	324.1362	324.3704		11940	5368	CHEMBL253998				
C09753	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		Glepidotin B	C20H20O5	340.1311	340.3698		11941	5381					
C09754	Lipids	PK  Polyketides	PK12 Flavonoids	PK1212 Chalcones and dihydrochalcones		Glycyphyllin;///Phloretin 2'-O-rhamnoside	C21H24O9	420.142	420.4099		11942	27400					
C09754	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		Glycyphyllin;///Phloretin 2'-O-rhamnoside	C21H24O9	420.142	420.4099		11942	27400					
C09755	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Hesperidin;///Hesperetin 7-O-rutinoside;///Ciratin	C28H34O15	610.1898	610.5606	Same as: D01038	11943	28775	CHEMBL2140112 CHEMBL265606 CHEMBL449317				
C09755	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Hesperidin;///Hesperetin 7-O-rutinoside;///Ciratin	C28H34O15	610.1898	610.5606	Same as: D01038	11943	28775	CHEMBL2140112 CHEMBL265606 CHEMBL449317				
C09756	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Homoeriodictyol;///Eriodictyol 3'-methyl ether	C16H14O6	302.079	302.2788		11944	74960	CHEMBL490170				
C09756	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Homoeriodictyol;///Eriodictyol 3'-methyl ether	C16H14O6	302.079	302.2788		11944	74960	CHEMBL490170				
C09757	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		7-Hydroxyflavan	C15H14O2	226.0994	226.2705		11945	2267					
C09757	Phytochemical Compounds	Flavonoids	Flavonoids	Flavans		7-Hydroxyflavan	C15H14O2	226.0994	226.2705		11945	2267					
C09758	Lipids	PK  Polyketides	PK12 Flavonoids	PK1204 Biflavonoids and polyflavonoids		Isochamaejasmin;///3,3''-Binaringenin	C30H22O10	542.1213	542.4897		11946	5994	CHEMBL3318021				
C09758	Phytochemical Compounds	Flavonoids	Complex flavonoids	Biflavonoids and polyflavonoids		Isochamaejasmin;///3,3''-Binaringenin	C30H22O10	542.1213	542.4897		11946	5994	CHEMBL3318021				
C09759	Lipids	PK  Polyketides	PK12 Flavonoids	PK1212 Chalcones and dihydrochalcones		Isouvaretin;///1-(4,6-Dihydroxy-3-((2-hydroxyphenyl)methyl)-2-methoxyphenyl)-3-phenyl-1-propanone	C23H22O5	378.1467	378.4178		11947	6068					
C09759	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		Isouvaretin;///1-(4,6-Dihydroxy-3-((2-hydroxyphenyl)methyl)-2-methoxyphenyl)-3-phenyl-1-propanone	C23H22O5	378.1467	378.4178		11947	6068					
C09760	Lipids	PK  Polyketides	PK12 Flavonoids	PK1202 Flavans, Flavanols and Leucoanthocyanidins		Kazinol A	C25H30O4	394.2144	394.5033		11948	6118	CHEMBL465167				
C09760	Phytochemical Compounds	Flavonoids	Flavonoids	Flavans		Kazinol A	C25H30O4	394.2144	394.5033		11948	6118	CHEMBL465167				
C09761	Lipids	PK  Polyketides	PK12 Flavonoids	PK1204 Biflavonoids and polyflavonoids		Kolaflavanone	C31H24O12	588.1268	588.5151		11949	28521					
C09761	Phytochemical Compounds	Flavonoids	Complex flavonoids	Biflavonoids and polyflavonoids		Kolaflavanone	C31H24O12	588.1268	588.5151		11949	28521					
C09762	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Liquiritigenin;///4',7-dihydroxyflavanone	C15H12O4	256.0736	256.2534		11950	28777	CHEMBL252642	DFV			
C09762	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Liquiritigenin;///4',7-dihydroxyflavanone	C15H12O4	256.0736	256.2534		11950	28777	CHEMBL252642	DFV			
C09763	Lipids	PK  Polyketides	PK12 Flavonoids	PK1204 Biflavonoids and polyflavonoids		Manniflavanone	C30H22O13	590.106	590.4879		11951	27409					
C09763	Phytochemical Compounds	Flavonoids	Complex flavonoids	Biflavonoids and polyflavonoids		Manniflavanone	C30H22O13	590.106	590.4879		11951	27409					
C09764	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		6-Methoxyaromadendrin 3-O-acetate	C18H16O8	360.0845	360.3148		11952	2210					
C09765	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Agnuside	C22H26O11	466.1475	466.4352		11953	2515	CHEMBL483223				
C09766	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Allamandin	C15H16O7	308.0896	308.2833		11954	2592					
C09768	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Antirrhinoside	C15H22O10	362.1213	362.3292		11956	2765	CHEMBL364464				
C09769	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Asperuloside	C18H22O11	414.1162	414.3607		11957	2881	CHEMBL461910				
C09770	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		6-Methoxytaxifolin	C16H14O8	334.0689	334.2776		11958	2213					
C09771	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Aucubin	C15H22O9	346.1264	346.3298		11959	69796	CHEMBL1873725 CHEMBL514882				
C09771	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Aucubin	C15H22O9	346.1264	346.3298		11959	69796	CHEMBL1873725 CHEMBL514882				
C09772	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Boschnialactone	C9H14O2	154.0994	154.2063		11960	3158					
C09773	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Catalpol	C15H22O10	362.1213	362.3292		11961	69797					
C09773	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Catalpol	C15H22O10	362.1213	362.3292		11961	69797					
C09774	Lipids	PK  Polyketides	PK12 Flavonoids	PK1212 Chalcones and dihydrochalcones		2'-O-Methylodoratol;///Methylodoratol	C18H20O5	316.1311	316.3484		11962	847					
C09774	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		2'-O-Methylodoratol;///Methylodoratol	C18H20O5	316.1311	316.3484		11962	847					
C09775	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Catalposide	C22H26O12	482.1424	482.4346		11963	3465	CHEMBL2332354				
C09776	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Didrovaltratum;///Didrovaltrate	C22H32O8	424.2097	424.4847		11964	4517	CHEMBL550227				
C09776	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Didrovaltratum;///Didrovaltrate	C22H32O8	424.2097	424.4847		11964	4517	CHEMBL550227				
C09777	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Dolichodial;///Iridial	C10H14O2	166.0994	166.217		11965	4685					
C09777	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Dolichodial;///Iridial	C10H14O2	166.0994	166.217		11965	4685					
C09778	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Fulvoplumierin	C14H12O4	244.0736	244.2427		11966	5188	CHEMBL445545				
C09779	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Gardenoside	C17H24O11	404.1319	404.3659		11967	5277					
C09780	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Genipin	C11H14O5	226.0841	226.2259		11968	5298	CHEMBL1317787 CHEMBL459016				
C09781	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Geniposide	C17H24O10	388.1369	388.3665		11969	5299	CHEMBL1417490 CHEMBL1718933 CHEMBL462894				
C09782	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Gentiopicrin;///Gentiopicroside	C16H20O9	356.1107	356.3246		11970	5321	CHEMBL508320				
C09782	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Secoiridoids		Gentiopicrin;///Gentiopicroside	C16H20O9	356.1107	356.3246		11970	5321	CHEMBL508320				
C09783	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Harpagoside	C24H30O11	494.1788	494.4884		11971	5625	CHEMBL516702				
C09783	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Harpagoside	C24H30O11	494.1788	494.4884		11971	5625	CHEMBL516702				
C09784	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Ipolamiide	C17H26O11	406.1475	406.3817		11972	5954					
C09785	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		(+)-Iridodial	C10H16O2	168.115	168.2328		11973	25					
C09785	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		(+)-Iridodial	C10H16O2	168.115	168.2328		11973	25					
C09786	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Iridomyrmecin	C10H16O2	168.115	168.2328		11974	5967					
C09787	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Isoplumericin	C15H14O6	290.079	290.2681		11975	6042	CHEMBL463014				
C09788	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Monotropein	C16H22O11	390.1162	390.3393		11976	6988					
C09788	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Monotropein	C16H22O11	390.1162	390.3393		11976	6988					
C09789	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Naringin;///Naringenin 7-O-neohesperidoside;///Naringenin 7-O-[alpha-L-rhamnosyl-(1->2)-beta-D-glucoside]	C27H32O14	580.1792	580.5346		11977	28819	CHEMBL1970019 CHEMBL451532				
C09789	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Naringin;///Naringenin 7-O-neohesperidoside;///Naringenin 7-O-[alpha-L-rhamnosyl-(1->2)-beta-D-glucoside]	C27H32O14	580.1792	580.5346		11977	28819	CHEMBL1970019 CHEMBL451532				
C09790	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		(+)-Neomatatabiol	C10H18O2	170.1307	170.2487		11978	33					
C09791	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Nepetalactone cis-trans-form	C10H14O2	166.0994	166.217		11979	7518					
C09791	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Nepetalactone cis-trans-form	C10H14O2	166.0994	166.217		11979	7518					
C09792	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Nepetalactone trans-cis-form	C10H14O2	166.0994	166.217		11980	7519					
C09792	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Nepetalactone trans-cis-form	C10H14O2	166.0994	166.217		11980	7519					
C09793	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Narirutin;///Naringenin 7-O-rutinoside	C27H32O14	580.1792	580.5346		11981	28705	CHEMBL1441712 CHEMBL446246 CHEMBL507672				
C09793	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Narirutin;///Naringenin 7-O-rutinoside	C27H32O14	580.1792	580.5346		11981	28705	CHEMBL1441712 CHEMBL446246 CHEMBL507672				
C09795	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Paederoside	C18H22O11S	446.0883	446.4257		11983	7888	CHEMBL517133				
C09796	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Plumericin	C15H14O6	290.079	290.2681		11984	8274	CHEMBL517300				
C09797	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Plumieride	C21H26O12	470.1424	470.4239		11985	8275	CHEMBL464470				
C09798	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Scandoside methyl ester	C17H24O11	404.1319	404.3659		11986	9046	CHEMBL516850				
C09799	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Specionin	C20H26O8	394.1628	394.4156		11987	9214					
C09800	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Secoiridoids		Swertiamarin	C16H22O10	374.1213	374.3399		11988	9370	CHEMBL456138				
C09801	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Valtratum;///Valtrate	C22H30O8	422.1941	422.4688		11989	9928	CHEMBL402061				
C09801	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Valtratum;///Valtrate	C22H30O8	422.1941	422.4688		11989	9928	CHEMBL402061				
C09802	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Verbenalin;///Cornin (glycoside)	C17H24O10	388.1369	388.3665		11990	9954	CHEMBL1080178				
C09802	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		Verbenalin;///Cornin (glycoside)	C17H24O10	388.1369	388.3665		11990	9954	CHEMBL1080178				
C09803	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		Neoastilbin;///(2S,3S)-Taxifolin 3-rhamnoside	C21H22O11	450.1162	450.3928		11991	27669	CHEMBL1314522 CHEMBL3939799				
C09804	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		cis-trans-Nepetalactol;///cis-trans-Iridodial lactol;///(+)-cis,trans-Nepetalactol;///(4aS,7S,7aR)-4,7-Dimethyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-ol	C10H16O2	168.115	168.2328		11992	26					
C09804	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Iridoids		cis-trans-Nepetalactol;///cis-trans-Iridodial lactol;///(+)-cis,trans-Nepetalactol;///(4aS,7S,7aR)-4,7-Dimethyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-ol	C10H16O2	168.115	168.2328		11992	26					
C09805	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Neoeriocitrin;///Eriodictyol 7-O-neohesperidoside	C27H32O15	596.1741	596.534		11993	7502	CHEMBL3609603				
C09805	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Neoeriocitrin;///Eriodictyol 7-O-neohesperidoside	C27H32O15	596.1741	596.534		11993	7502	CHEMBL3609603				
C09806	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Neohesperidin;///Hesperetin 7-O-neohesperidoside	C28H34O15	610.1898	610.5606		11994	59016	CHEMBL1885559 CHEMBL506398				
C09806	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Neohesperidin;///Hesperetin 7-O-neohesperidoside	C28H34O15	610.1898	610.5606		11994	59016	CHEMBL1885559 CHEMBL506398				
C09807	Lipids	PK  Polyketides	PK12 Flavonoids	PK1212 Chalcones and dihydrochalcones		Odoratol	C17H18O5	302.1154	302.3218		11995	7729					
C09807	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		Odoratol	C17H18O5	302.1154	302.3218		11995	7729					
C09808	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		Phellamurin;///8-Prenyldihydrokaempferol 7-glucoside	C26H30O11	518.1788	518.5098		11996	8048	CHEMBL516116				
C09826	Phytochemical Compounds	Flavonoids	Flavonoids	Dihyroflavonols		Pinobanksin;///3,5,7-Trihydroxyflavanone	C15H12O5	272.0685	272.2528		12014	28103	CHEMBL608410				
C09827	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Pinocembrin;///5,7-Dihydroxyflavanone	C15H12O4	256.0736	256.2534		12015	28157	CHEMBL399910				
C09827	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Pinocembrin;///5,7-Dihydroxyflavanone	C15H12O4	256.0736	256.2534		12015	28157	CHEMBL399910				
C09828	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Pinocembrin 7-rhamnosylglucoside	C27H32O13	564.1843	564.5352		12016	8222					
C09829	Lipids	PK  Polyketides	PK12 Flavonoids	PK1212 Chalcones and dihydrochalcones		Piperaduncin B	C29H30O8	506.1941	506.5437		12017	8234	CHEMBL486612				
C09829	Phytochemical Compounds	Flavonoids	Flavonoids	Dihydrochalcones		Piperaduncin B	C29H30O8	506.1941	506.5437		12017	8234	CHEMBL486612				
C09830	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Poncirin;///Isosakuranetin 7-O-neohesperidoside	C28H34O14	594.1949	594.5612		12018	66773	CHEMBL451050				
C09830	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Poncirin;///Isosakuranetin 7-O-neohesperidoside	C28H34O14	594.1949	594.5612		12018	66773	CHEMBL451050				
C09831	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		5'-Prenylhomoeriodictyol;///Sigmoidin B 3'-methyl ether	C21H22O6	370.1416	370.3958		12019		CHEMBL388722				
C09831	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		5'-Prenylhomoeriodictyol;///Sigmoidin B 3'-methyl ether	C21H22O6	370.1416	370.3958		12019		CHEMBL388722				
C09832	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		6-Prenylnaringenin;///5,7,4'-Trihydroxy-6-prenylflavanone	C20H20O5	340.1311	340.3698		12020						
C09833	Lipids	PK  Polyketides	PK12 Flavonoids	PK1214 Flavanones		Sakuranetin;///Naringenin 7-methyl ether;///(2S)-Sakuranetin	C16H14O5	286.0841	286.2794		12021	28927	CHEMBL448297	SAK			
C09833	Phytochemical Compounds	Flavonoids	Flavonoids	Flavanones		Sakuranetin;///Naringenin 7-methyl ether;///(2S)-Sakuranetin	C16H14O5	286.0841	286.2794		12021	28927	CHEMBL448297	SAK			
C09834	Phytochemical Compounds	Flavonoids	Complex flavonoids	Diels-Alder adduct of chalcone		Sanggenon C	C40H36O12	708.2207	708.7066		12022	9020	CHEMBL204813 CHEMBL525084				
C09835	Phytochemical Compounds	Flavonoids	Complex flavonoids	Diels-Alder adduct of chalcone		Sanggenon D	C40H36O12	708.2207	708.7066		12023	9021					
C09836	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		Ascaridole	C10H16O2	168.115	168.2328		12024	2866	CHEMBL467614				
C09837	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		(1S,2R,4S)-(-)-Bornyl acetate	C12H20O2	196.1463	196.286		12025	157	CHEMBL3183823				
C09837	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		(1S,2R,4S)-(-)-Bornyl acetate	C12H20O2	196.1463	196.286		12025	157	CHEMBL3183823				
C09839	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Car-3-ene;///(-)-3-Carene	C10H16	136.1252	136.234		12026	3381		3V4			
C09839	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		Car-3-ene;///(-)-3-Carene	C10H16	136.1252	136.234		12026	3381		3V4			
C09840	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Carvacrol	C10H14O	150.1045	150.2176		12027	3440	CHEMBL281202				
C09840	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		Carvacrol	C10H14O	150.1045	150.2176		12027	3440	CHEMBL281202				
C09840	Target-based Classification of Compounds	Ion channels	Related to voltage-gated cation channels	Transient receptor potential family, TRPV (Vanilloid)		Carvacrol	C10H14O	150.1045	150.2176		12027	3440	CHEMBL281202				
C09841	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Carvone oxide	C10H14O2	166.0994	166.217		12028						
C09841	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		Carvone oxide	C10H14O2	166.0994	166.217		12028						
C09842	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		Chrysanthemic acid	C10H16O2	168.115	168.2328		12029	3680 39100					
C09842	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Others		Chrysanthemic acid	C10H16O2	168.115	168.2328		12029	3680 39100					
C09843	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		Chrysanthenone;///(-)-Chrysanthenone	C10H14O	150.1045	150.2176		12030	3681					
C09844	Lipids	PR  Prenol Lipids	PR01 Isoprenoids	PR0102 C10 isoprenoids (monoterpenes)		1,8-Cineole;///1,8-Cineol;///Eucalyptol;///1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane	C10H18O	154.1358	154.2493	Same as: D04115	12031	27961	CHEMBL1231862 CHEMBL1397305 CHEMBL485259	CNL			
C09844	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Cyclic monoterpenes		1,8-Cineole;///1,8-Cineol;///Eucalyptol;///1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane	C10H18O	154.1358	154.2493	Same as: D04115	12031	27961	CHEMBL1231862 CHEMBL1397305 CHEMBL485259	CNL			
C09845	Phytochemical Compounds	Terpenoids	Monoterpenoids (C10)	Others		Cinerin I	C20H28O3	316.2038	316.4345		12032	3706					
