	Type	Common-Name
GLUAMCAT-PWY	N-Acetylglucosamine-Degradation	<i>N</i>-acetylglucosamine degradation I
PWY-6517	Super-Pathways	<i>N</i>-acetylglucosamine degradation II
GLUTAMINEFUM-PWY	GLUTAMINE-DEG	L-glutamine degradation II
PWY-5863	Super-Pathways	superpathway of phylloquinol biosynthesis
GLUTAMINDEG-PWY	GLUTAMINE-DEG	L-glutamine degradation I
PWY-6767	TRITERPENOID-SYN	4,4'-diapolycopenedioate biosynthesis
PWY-7072	TRITERPENOID-SYN	hopanoid biosynthesis (bacteria)
GLYCOLYSIS-E-D	Super-Pathways	superpathway of glycolysis and the Entner-Doudoroff pathway
GLYCOLYSIS-TCA-GLYOX-BYPASS	Super-Pathways	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
GLYOXYLATE-BYPASS	Energy-Metabolism	glyoxylate cycle
PWY-6978	Plastoquinone-Biosynthesis	plastoquinol-9 biosynthesis II
PWY-5197	Energy-Metabolism	lactate biosynthesis (archaea)
PWY-5277	Thiosulfate-Disproportionation	thiosulfate disproportionation I (thiol-dependent)
PWY-5306	Super-Pathways	superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)
PWY-5352	Thiosulfate-Disproportionation	thiosulfate disproportionation II (cytochrome)
PWY-5741	Energy-Metabolism	ethylmalonyl-CoA pathway
PWY-6728	Energy-Metabolism	methylaspartate cycle
PWY-6871	Energy-Metabolism	3-methylbutanol biosynthesis (engineered)
PWY-6873	Energy-Metabolism	long chain fatty acid ester synthesis (engineered)
PWY-6876	Energy-Metabolism	isopropanol biosynthesis (engineered)
PWY-6938	Energy-Metabolism	NADH repair
PWY-6932	Selenium-Metabolism	selenate reduction
PWY-6992	Energy-Metabolism	1,5-anhydrofructose degradation
PWY-7007	Energy-Metabolism	methyl ketone biosynthesis (engineered)
PWY-7102	Energy-Metabolism	bisabolene biosynthesis (engineered)
PWY-7126	Energy-Metabolism	ethylene biosynthesis IV (engineered)
GLYCEROLMETAB-PWY	GLYCEROL-DEG	glycerol degradation V
PWY-7178	Energy-Metabolism	ethylene glycol biosynthesis (engineered)
PWY-7813	Thiosulfate-Disproportionation	thiosulfate disproportionation III (quinone)
PWY-6952	GLYCEROL-DEG	glycerophosphodiester degradation
PWY0-1517	Energy-Metabolism	sedoheptulose bisphosphate bypass
GOLPDLCAT-PWY	Super-Pathways	superpathway of glycerol degradation to 1,3-propanediol
RUMP-PWY	Formaldehyde-Oxidation	formaldehyde oxidation I
PWY-6131	GLYCEROL-DEG	glycerol degradation II
PWY-8015	GLYCINE-DEG	glycine degradation (Stickland reaction)
PWY0-381	Super-Pathways	glycerol and glycerophosphodiester degradation
GLYCLEAV-PWY	GLYCINE-DEG	glycine cleavage
PWY-5084	Respiration	2-oxoglutarate decarboxylation to succinyl-CoA
PWY-5046	Respiration	2-oxoisovalerate decarboxylation to isobutanoyl-CoA
GLYSYN-THR-PWY	GLYCINE-SYN	glycine biosynthesis IV
GLYSYN-PWY	GLYCINE-SYN	glycine biosynthesis I
GLYSYN-ALA-PWY	GLYCINE-SYN	glycine biosynthesis III
PWY-7545	Electron-Transfer	pyruvate to cytochrome <i>bd</i> oxidase electron transfer
PWY0-1335	Electron-Transfer	NADH to cytochrome <i>bo</i> oxidase electron transfer I
PWY-622	GLYCOGEN-BIOSYN	starch biosynthesis
PWY0-1561	Electron-Transfer	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer
PWY-3781	Electron-Transfer	aerobic respiration I (cytochrome c)
GLYCOGENSYNTH-PWY	GLYCOGEN-BIOSYN	glycogen biosynthesis I (from ADP-D-Glucose)
PWY0-1568	Electron-Transfer	NADH to cytochrome <i>bd</i> oxidase electron transfer II
PWY-7900	GLYCOGEN-BIOSYN	glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)
PWY-5303	Thiosulfate-Oxidation	thiosulfate oxidation II (via tetrathionate)
PWY-7544	Electron-Transfer	pyruvate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1334	Electron-Transfer	NADH to cytochrome <i>bd</i> oxidase electron transfer I
PWY0-1544	Electron-Transfer	proline to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1567	Electron-Transfer	NADH to cytochrome <i>bo</i> oxidase electron transfer II
PWY-4521	Electron-Transfer	arsenite oxidation I (respiratory)
PWY-7429	Electron-Transfer	arsenite oxidation II (respiratory)
P341-PWY	GLYCOLYSIS-VARIANTS	glycolysis V (Pyrococcus)
PWY0-1329	Electron-Transfer	succinate to cytochrome <i>bo</i> oxidase electron transfer
GLYCOLYSIS	GLYCOLYSIS-VARIANTS	glycolysis I (from glucose 6-phosphate)
PWY0-1353	Electron-Transfer	succinate to cytochrome <i>bd</i> oxidase electron transfer
PWY-5484	GLYCOLYSIS-VARIANTS	glycolysis II (from fructose 6-phosphate)
PWY0-1565	Electron-Transfer	D-lactate to cytochrome <i>bo</i> oxidase electron transfer
ANAGLYCOLYSIS-PWY	GLYCOLYSIS-VARIANTS	glycolysis III (from glucose)
THIOSULFOX-PWY	Thiosulfate-Oxidation	thiosulfate oxidation I (to tetrathionate)
PWY-7394	Urate-Degradation	urate conversion to allantoin II
PWY-5691	Urate-Degradation	urate conversion to allantoin I
PWY-7849	Urate-Degradation	urate conversion to allantoin III
PWY-5436	THREONINE-DEG	L-threonine degradation IV
THRDLCTCAT-PWY	THREONINE-DEG	L-threonine degradation III (to methylglyoxal)
PWY-6277	Super-Pathways	superpathway of 5-aminoimidazole ribonucleotide biosynthesis
PWY-6122	AIR-Biosynthesis	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6121	AIR-Biosynthesis	5-aminoimidazole ribonucleotide biosynthesis I
THREONINE-DEG2-PWY	THREONINE-DEG	L-threonine degradation II
PWY-5437	THREONINE-DEG	L-threonine degradation I
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I
TRPSYN-PWY	TRYPTOPHAN-BIOSYNTHESIS	L-tryptophan biosynthesis
PWY-5951	Butanediol-Biosynthesis	(<i>R,R</i>)-butanediol biosynthesis
PWY-6392	Butanediol-Biosynthesis	<i>meso</i>-butanediol biosynthesis II
PWY-5350	Thiosulfate-Disproportionation	thiosulfate disproportionation IV (rhodanese)
P125-PWY	Super-Pathways	superpathway of (<i>R,R</i>)-butanediol biosynthesis
PWY-6391	Butanediol-Biosynthesis	<i>meso</i>-butanediol biosynthesis I
PWY-6692	Iron-Metabolism	Fe(II) oxidation
PWY-6390	Butanediol-Biosynthesis	(<i>S,S</i>)-butanediol biosynthesis
PWY-6396	Super-Pathways	superpathway of 2,3-butanediol biosynthesis
GLYOXDEG-PWY	Glycolate-Degradation	glycolate and glyoxylate degradation II
ALADEG-PWY	ALANINE-DEG	L-alanine degradation I
GLYCOLATEMET-PWY	Glycolate-Degradation	glycolate and glyoxylate degradation I
ALACAT2-PWY	ALANINE-DEG	L-alanine degradation II (to D-lactate)
PWY-6649	Glycolate-Degradation	glycolate and glyoxylate degradation III
PWY1-2	ALANINE-DEG	L-alanine degradation IV
PWY-6498	Other-biosynthesis	eumelanin biosynthesis
PWY-6481	Other-biosynthesis	L-dopa and L-dopachrome biosynthesis
PWY-6519	7-Keto-8-aminopelargonate-Biosynthesis	8-amino-7-oxononanoate biosynthesis I
PWY-7226	Guanosine-Deoxy-Denovo-Biosynthesis	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I
PWY-7147	7-Keto-8-aminopelargonate-Biosynthesis	8-amino-7-oxononanoate biosynthesis II
PWY-7222	Guanosine-Deoxy-Denovo-Biosynthesis	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-6578	7-Keto-8-aminopelargonate-Biosynthesis	8-amino-7-oxononanoate biosynthesis III
ASPASN-PWY	Super-Pathways	superpathway of L-aspartate and L-asparagine biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY	Super-Pathways	superpathway of branched chain amino acid biosynthesis
COMPLETE-ARO-PWY	Super-Pathways	superpathway of aromatic amino acid biosynthesis
P4-PWY	Super-Pathways	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
PWY-7850	Taurine-Biosynthesis	taurine biosynthesis II
PWY-5331	Taurine-Biosynthesis	taurine biosynthesis I
SER-GLYSYN-PWY	Super-Pathways	superpathway of L-serine and glycine biosynthesis I
VALSYN-PWY	VALINE-BIOSYNTHESIS	L-valine biosynthesis
PWY-5669	PhosphatidylethanolamineBiosynthesis	phosphatidylethanolamine biosynthesis I
PWY-7881	Gamma-Butyrolactone-Biosynthesis	virginiae butanolide type &gamma;-butyrolactones biosynthesis
PWY-7878	Gamma-Butyrolactone-Biosynthesis	A-factor &gamma;-butyrolactone biosynthesis
PWY-7882	Gamma-Butyrolactone-Biosynthesis	IM-2 type &gamma;-butyrolactones biosynthesis
PWY0-1471	Uracil-Degradation	uracil degradation III
ALANINE-VALINESYN-PWY	ALANINE-SYN	L-alanine biosynthesis I
PWY-6426	Uracil-Degradation	uracil degradation II (oxidative)
ALANINE-SYN2-PWY	ALANINE-SYN	L-alanine biosynthesis II
PWY-6685	Glucosylglycerate-Biosynthesis	glucosylglycerate biosynthesis II
HOMOSER-THRESYN-PWY	THREONINE-BIOSYNTHESIS	L-threonine biosynthesis
PWY-5662	Glucosylglycerate-Biosynthesis	glucosylglycerate biosynthesis I
PWY0-1061	Super-Pathways	superpathway of L-alanine biosynthesis
PWY0-1021	ALANINE-SYN	L-alanine biosynthesis III
PWY-1341	Phenylacetate-Degradation	phenylacetate degradation II (anaerobic)
PWY-7772	Gamma-Resorcylate-Degradation	&gamma;-resorcylate degradation II
PWY-7773	Gamma-Resorcylate-Degradation	&gamma;-resorcylate degradation I
PWY0-321	Phenylacetate-Degradation	phenylacetate degradation I (aerobic)
PWY-7804	Glyphosate-Degradation	glyphosate degradation I
PWY-7807	Glyphosate-Degradation	glyphosate degradation III
PWY-7806	Glyphosate-Degradation	glyphosate degradation II
ILEUDEG-PWY	ISOLEUCINE-DEG	L-isoleucine degradation I
P581-PWY	Thiocyanate-Degradation	thiocyanate degradation I
PWY-743	Thiocyanate-Degradation	thiocyanate degradation II
PWY-7924	Rubber-Degradation	rubber degradation I
PWY-7925	Rubber-Degradation	rubber degradation II
PWY-1081	Pectin-Degradation	homogalacturonan degradation
GLYCOCAT-PWY	Glycogen-Degradation	glycogen degradation I
PWY-6790	Glycan-Degradation	L-arabinan degradation
PWY-7246	Pectin-Degradation	pectin degradation I
PWY-5941	Glycogen-Degradation	glycogen degradation II
PWY-6717	Xylan-Degradation	(1,4)-&beta;-D-xylan degradation
PWY-7469	Gentisate-Degradation	gentisate degradation II
PWY-6223	Gentisate-Degradation	gentisate degradation I
PWY-7221	Purine-Ribonuc-De-Novo-Biosynthesis	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7219	Purine-Ribonuc-De-Novo-Biosynthesis	adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY-7234	IMP-Biosynthesis	inosine-5'-phosphate biosynthesis III
PWY-6123	IMP-Biosynthesis	inosine-5'-phosphate biosynthesis I
PWY-6972	Interconversion	oleandomycin activation/inactivation
PWY-6771	Rhamnogalacturonan-Degradation	rhamnogalacturonan type I degradation II (bacteria)
PWY-6430	Pyrimidine-Base-Degradation	thymine degradation
PWY-5029	HISTIDINE-SYN	imidazole-lactate degradation
HISTSYN-PWY	HISTIDINE-SYN	L-histidine biosynthesis
GLUCONEO-PWY	Gluconeogenesis	gluconeogenesis I
PWY-6142	Super-Pathways	gluconeogenesis II (<i>Methanobacterium thermoautotrophicum</i>)
PWY18C3-23	Volatile-Benzenoids-Biosynthesis	guaiacol biosynthesis
PWY-7723	Bioluminescence	bacterial bioluminescence
HISDEG-PWY	HISTIDINE-DEG	L-histidine degradation I
PWY-5028	HISTIDINE-DEG	L-histidine degradation II
HISTDEG-PWY	HISTIDINE-DEG	L-histidine degradation IV
